Date,Open,High,Low,Close
11/26/13, 1293.46, 1293.46, 1280.92, 1284.69
11/25/13, 1310.60, 1311.53, 1296.05, 1298.32
11/22/13, 1315.84, 1316.35, 1308.58, 1312.50
11/21/13, 1323.30, 1324.55, 1312.97, 1316.87
11/20/13, 1340.30, 1344.62, 1318.34, 1322.77
11/19/13, 1341.62, 1346.59, 1326.06, 1331.27
11/18/13, 1342.44, 1351.07, 1335.57, 1338.83
11/15/13, 1327.90, 1338.85, 1325.99, 1336.39
11/14/13, 1316.40, 1326.05, 1309.43, 1323.28
11/13/13, 1296.34, 1315.34, 1287.22, 1315.04
11/12/13, 1331.95, 1331.95, 1308.52, 1314.96
11/11/13, 1342.41, 1345.20, 1336.42, 1339.49
11/08/13, 1326.04, 1346.79, 1317.95, 1345.82
11/07/13, 1359.46, 1359.48, 1323.54, 1325.27
11/06/13, 1350.43, 1356.48, 1343.95, 1354.97
11/05/13, 1346.03, 1348.79, 1333.21, 1345.92
11/04/13, 1337.70, 1352.52, 1337.70, 1352.52
11/01/13, 1304.05, 1323.95, 1303.94, 1321.73
10/31/13, 1303.52, 1311.52, 1297.06, 1302.04
10/30/13, 1309.27, 1314.52, 1294.75, 1303.52
10/29/13, 1302.36, 1312.50, 1295.81, 1312.34
10/28/13, 1301.37, 1306.31, 1295.48, 1304.43
10/25/13, 1304.69, 1308.43, 1296.46, 1306.87
10/24/13, 1315.25, 1316.04, 1305.09, 1306.77
10/23/13, 1315.37, 1315.37, 1301.75, 1310.69
10/22/13, 1320.93, 1338.06, 1320.93, 1330.75
10/21/13, 1318.52, 1323.97, 1310.47, 1315.83
10/18/13, 1311.27, 1313.06, 1303.95, 1307.67
10/17/13, 1294.68, 1312.43, 1294.68, 1309.23
10/16/13, 1296.40, 1307.72, 1295.11, 1297.89
10/15/13, 1281.62, 1307.70, 1281.62, 1296.40
10/14/13, 1254.85, 1286.37, 1252.71, 1281.62
10/11/13, 1246.80, 1263.63, 1245.03, 1260.90
10/10/13, 1231.57, 1252.50, 1231.00, 1248.28
10/09/13, 1227.73, 1228.32, 1209.10, 1218.95
10/08/13, 1236.63, 1239.81, 1224.02, 1224.70
10/07/13, 1230.30, 1243.46, 1226.27, 1236.24
